"id","region","item_code","item_name","item_value","unit","etl_time","dm_update_time","dm_load_time","yr"
"61d9a21e-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,102.72144,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2024
"61dbea56-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,281.62762,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2010
"61de3964-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,149.51143,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2018
"61de9c88-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,269.67439,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2007
"61e0256c-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,87.19541,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2012
"61e10298-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,72.01430,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2012
"61e22506-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,63.88784,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2008
"61e46b4a-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,0.00000,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026
"61e5fe1a-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,112.25688,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2014
"61e661de-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,240.74425,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2024
"610972ba-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,597.41761,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2013
"610a9f0a-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,584.72927,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2008
"610b6336-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,637.46136,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2015
