"id","region","item_code","item_name","item_value","unit","etl_time","yr","dm_update_time","dm_load_time"
e36e8848-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:55.129,2024,2026-03-10 13:49:55.129,2026-03-10 13:49:55.129
e62b9580-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:59.721,2025,2026-03-10 13:49:59.721,2026-03-10 13:49:59.721
e8db9442-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:50:04.203,2026,2026-03-10 13:50:04.203,2026-03-10 13:50:04.203
"7320736a-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,34707.80130,Ml,2026-03-10 11:02:07.680,2005,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7320da94-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,36910.62890,Ml,2026-03-10 11:02:07.680,2020,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73213d90-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,46092.29600,Ml,2026-03-10 11:02:07.680,2014,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7321a23a-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,38091.08050,Ml,2026-03-10 11:02:07.680,2018,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73220630-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,41812.63800,Ml,2026-03-10 11:02:07.680,2007,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"732269ea-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,31182.04500,Ml,2026-03-10 11:02:07.680,2011,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e16ee0-fe5b-8c3e-7767-fa163e9bc3ab",HKI,bi_p_250,Raw Water Propose Supply Volume,6675.00000,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7314a396-fe5b-8c3e-7767-fa163e9bc3ab",HKI,bi_p_251,Raw Water Actual Supply Volume,7532.91350,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
c7e812ba-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:08.786,2015,2026-03-10 13:49:08.786,2026-03-10 13:49:08.786
cb16132e-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:14.155,2016,2026-03-10 13:49:14.155,2026-03-10 13:49:14.155
cdb43020-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:18.615,2017,2026-03-10 13:49:18.615,2026-03-10 13:49:18.615
d0e47070-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:23.963,2018,2026-03-10 13:49:23.963,2026-03-10 13:49:23.963
d4107faa-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:29.283,2019,2026-03-10 13:49:29.283,2026-03-10 13:49:29.283
d7f5389a-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:35.856,2020,2026-03-10 13:49:35.856,2026-03-10 13:49:35.856
dabbe34e-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:40.457,2021,2026-03-10 13:49:40.457,2026-03-10 13:49:40.457
